CODIGO	EXTENSAO	CATEGORIA	NOME_CURTO	NOME_OFICIAL	VIGENTE_DESDE
1324		CSLL	Simples Nacional - Lançamento de Ofício	CSLL - Simples Nacional - Lançamento de Ofício	12/08/2009
2030		CSLL	Entidades Financeiras - Balanço Trimestral	CSLL - Entidades Financeiras - Balanço Trimestral	—
2372		CSLL	PJ que Apuram o IRPJ com Base em Lucro Presumido ou Arbitrado	CSLL - PJ que Apuram o IRPJ com Base em Lucro Presumido ou Arbitrado	—
2469		CSLL	Entidades Financeiras - Estimativa Mensal	CSLL - Entidades Financeiras - Estimativa Mensal	—
2484		CSLL	Demais PJ que Apuram o IRPJ com base em Lucro Real - Estimativa Mensal	CSLL - Demais PJ que Apuram o IRPJ com base em Lucro Real - Estimativa Mensal	—
2973		CSLL	Lançamento de Ofício	CSLL - Lançamento de Ofício	—
3260		CSLL	Retenção na Fonte sobre Pagamentos de Pessoa Jurídica a outra Pessoa Jurídica de	CSLL - Retenção na Fonte sobre Pagamentos de Pessoa Jurídica a outra Pessoa Jurídica de Direito Privado - Lançamento de Ofício	04/02/2005
3308		CSLL	Retenção na Fonte sobre Pagamentos de Empresa Pública, Sociedade de Economia Mis	CSLL - Retenção na Fonte sobre Pagamentos de Empresa Pública, Sociedade de Economia Mista e outras Entidades a Pessoa Jurídica de Direito Privado - Lançamento de Ofício	04/02/2005
3657		CSLL	Cobrança	CSLL - Cobrança	—
4153		CSLL	Regime Especial de Tributação do Patrimônio de Afetação	CSLL - Regime Especial de Tributação do Patrimônio de Afetação	06/12/2004
4397		CSLL	Retenção na Fonte sobre Pagamentos dos Estados, DF e Municípios pela Aquisição d	CSLL - Retenção na Fonte sobre Pagamentos dos Estados, DF e Municípios pela Aquisição de Bens e Serviços	15/12/2004
5802		CSLL	Suplementar	CSLL - Suplementar	01/01/1996
5987		CSLL	Retenção sobre Pagamentos de Pessoa Jurídica a Pessoa Jurídica de Direito Privad	CSLL - Retenção sobre Pagamentos de Pessoa Jurídica a Pessoa Jurídica de Direito Privado (art. 30 da Lei nº 10.833/2003)	01/02/2004
6012		CSLL	Demais PJ que Apuram o IRPJ com Base em Lucro Real - Balanço Trimestral	CSLL - Demais PJ que Apuram o IRPJ com Base em Lucro Real - Balanço Trimestral	01/01/1997
6228		CSLL	Retenção na Fonte sobre Pagamento a Pessoa Jurídica (art. 34 da Lei nº 10.833/20	CSLL - Retenção na Fonte sobre Pagamento a Pessoa Jurídica (art. 34 da Lei nº 10.833/2003)	01/01/1997
6479		CSLL	Atualização do Valor de Bens Imóveis	CSLL - Atualização do Valor de Bens Imóveis	25/09/2024
6758		CSLL	Entidades Financeiras - Declaração de Ajuste	CSLL - Entidades Financeiras - Declaração de Ajuste	27/11/1997
6773		CSLL	Demais Pessoas Jurídicas - Declaração de Ajuste	CSLL - Demais Pessoas Jurídicas - Declaração de Ajuste	27/11/1997
7307		CSLL	Simples	CSLL - Simples	01/01/1997
7485		CSLL	Depósito Judicial	CSLL - Depósito Judicial	26/11/1998
7647		CSLL	Depósito Administrativo	CSLL - Depósito Administrativo	26/11/1998
7837		CSLL	Trans Navios	CSLL - Trans Navios	26/11/1998
0447		PIS	Importação - Depósito Administrativo	PIS - Importação - Depósito Administrativo	01/09/2006
0449		PIS	Importação de Serviços-Lançamento de Ofício	PIS-Importação de Serviços-Lançamento de Ofício	22/11/2006
0513		PIS	Regime Especial de Tributação - Patrimônio de Afetação - Lançamento de Ofício	PIS - Regime Especial de Tributação - Patrimônio de Afetação - Lançamento de Ofício	21/12/2007
0679		PIS	Tributação de Bebidas Frias - Cervejas	PIS - Tributação de Bebidas Frias - Cervejas	01/01/2009
0691		PIS	Tributação de Bebidas Frias - Demais Bebidas	PIS - Tributação de Bebidas Frias - Demais Bebidas	01/01/2009
0724		PIS	Importação - Tributação de Bebidas Frias - Cervejas	PIS - Importação - Tributação de Bebidas Frias - Cervejas	01/01/2009
0753		PIS	Importação - Tributação de Bebidas Frias - Demais Bebidas	PIS - Importação - Tributação de Bebidas Frias - Demais Bebidas	01/01/2009
0860		PIS	Depósito Administrativo	Pasep - Depósito Administrativo	01/09/2006
0868		PIS	Depósito Judicial	Pasep - Depósito Judicial	01/09/2006
0906		PIS	Regime Especial de Apuração e Pagamento - Álcool	PIS - Regime Especial de Apuração e Pagamento - Álcool	03/02/2009
0912		PIS	Importação - Regime Especial de Apuração e Pagamento - Álcool	PIS - Importação - Regime Especial de Apuração e Pagamento - Álcool	03/02/2009
1347		PIS	Simples Nacional - Lançamento de Ofício	PIS - Simples Nacional - Lançamento de Ofício	12/08/2009
1921		PIS	Vendas à ZMF - Substituição Tributária	PIS - Vendas à ZMF - Substituição Tributária	17/05/2006
1947		PIS	Importação - Depósito Judicial	PIS - Importação - Depósito Judicial	01/09/2006
2979		PIS	Retenção sobre as Transferências Efetuadas para Estados, DF e Municípios	Pasep - Retenção sobre as Transferências Efetuadas para Estados, DF e Municípios	11/10/2011
2986		PIS	Lançamento de Ofício	PIS - Lançamento de Ofício	—
2999		PIS	Lançamento de Ofício	Pasep - Lançamento de Ofício	—
3121		PIS	Operações Intra Orçamentárias	PIS - Operações Intra Orçamentárias	17/03/2006
3359		PIS	Retenção na Fonte sobre Pagamentos de Pessoa Jurídica a outra Pessoa Jurídica de	PIS - Retenção na Fonte sobre Pagamentos de Pessoa Jurídica a outra Pessoa Jurídica de Direito Privado - Lançamento de Ofício	04/02/2005
3360		PIS	Retenção na Fonte sobre Pagamentos de Empresa Pública, Sociedade de Economia Mis	PIS - Retenção na Fonte sobre Pagamentos de Empresa Pública, Sociedade de Economia Mista e outras Entidades a Pessoa Jurídica de Direito Privado - Lançamento de Ofício	04/02/2005
3616		PIS	Cobrança	PIS - Cobrança	—
3629		PIS	Cobrança	Pasep - Cobrança	—
3703		PIS	Pessoa Jurídica de Direito Publico	Pasep - Pessoa Jurídica de Direito Publico	—
3770		PIS	Retenção na Fonte - Aquisição de Autopeças	PIS - Retenção na Fonte - Aquisição de Autopeças	12/12/2005
4138		PIS	Regime Especial de Tributação do Patrimônio de Afetação	PIS - Regime Especial de Tributação do Patrimônio de Afetação	06/12/2004
4409		PIS	Retenção na Fonte sobre Pagamentos dos Estados, DF e Municípios pela Aquisição d	PIS - Retenção na Fonte sobre Pagamentos dos Estados, DF e Municípios pela Aquisição de Bens e Serviços	15/12/2004
4562		PIS	Importação de Produtos - Lançamento de Ofício	PIS - Importação de Produtos - Lançamento de Ofício	27/07/2004
4574		PIS	Entidades Financeiras e Equiparadas	PIS - Entidades Financeiras e Equiparadas	01/01/1994
5434		PIS	Importação de Serviços	PIS - Importação de Serviços	17/05/2004
5602		PIS	Importação	PIS - Importação	01/05/2004
5979		PIS	Retenção sobre Pagamentos de Pessoa Jurídica a Pessoa Jurídica de Direito Privad	PIS - Retenção sobre Pagamentos de Pessoa Jurídica a Pessoa Jurídica de Direito Privado	01/02/2004
